,Correlation
genre__Pop,0.09256564947188077
genre__Soundtrack_Showtunes,0.09254436695123665
genre__Rock,0.08830456682866332
loudness,0.0675700487601316
time_signature_4,0.0628913037911956
danceability,0.06100664338588624
explicit,0.055091240520419596
genre__Folk_Acoustic_Singer-Songwriter,0.04159169934882761
genre__World_International,0.038435758707376914
genre__Hip-Hop_Rap,0.023992727199147006
genre__R&B_Soul_Funk,0.021224382827325815
key_4,0.012273803945541782
energy,0.011883518021798089
key_11,0.009186102226210377
key_2,0.008012199254568364
key_8,0.007239241205436022
sentiment_neutral,0.006901501012154114
tempo,0.006438653836636037
genre__Latin,0.005536629038985382
key_6,0.004034952160865902
key_3,0.0007310781081145008
key_5,-0.0035685650185334175
key_1,-0.004213043627373805
key_10,-0.004364423037801203
sentiment_positive,-0.004694791932613189
key_9,-0.005748549172815449
key_0,-0.008361417066361225
genre__Reggae_Ska_Dub,-0.00899225528312733
key_7,-0.010725772784330297
liveness,-0.013638814264490469
mode,-0.015360630256221327
valence,-0.0160326243309176
duration_ms,-0.01800674464419543
time_signature_1,-0.021122568648461817
time_signature_5,-0.026617342229628294
genre__Metal,-0.026702210114130598
acousticness,-0.037213135733844924
genre__Classical_Opera,-0.03765734931010738
speechiness,-0.04529673581602989
genre__Electronic_Dance,-0.05007687947022441
time_signature_3,-0.05133746024936905
word_count,-0.062482905018490686
genre__Jazz_Blues,-0.06693659678505332
length,-0.08167828100419536
genre__Mood_Functional_Other,-0.08720758044626858
instrumentalness,-0.121444083848835
genre__Country_Americana,-0.12323697421141465
